trade_date,wind_code,open,high,low,close,volume,amt
2026-03-17,801080.SI,7088.40,7088.40,6845.44,6846.32,10843330000,370242690000
2026-03-18,801080.SI,6912.14,7017.43,6863.56,7011.59,10149590000,377056770000
2026-03-19,801080.SI,6869.92,6927.17,6808.63,6836.38,9410910000,338435240000
2026-03-20,801080.SI,6897.06,6943.51,6734.15,6736.02,10993200000,386323320000
2026-03-23,801080.SI,6564.50,6625.60,6335.22,6369.51,12079860000,367071550000
2026-03-24,801080.SI,6476.05,6524.40,6291.23,6524.40,9988070000,320350880000
2026-03-25,801080.SI,6600.70,6767.59,6600.70,6697.15,9849470000,356311210000
2026-03-26,801080.SI,6666.91,6685.24,6529.27,6549.20,9274180000,303361290000
2026-03-27,801080.SI,6410.13,6646.91,6398.99,6595.34,8631460000,287311150000
2026-03-30,801080.SI,6475.11,6582.14,6435.61,6573.26,8469550000,277783010000
2026-03-31,801080.SI,6525.82,6580.13,6395.22,6395.22,8415440000,303399740000
2026-04-01,801080.SI,6582.22,6600.41,6531.99,6582.69,8445970000,320833100000
2026-04-02,801080.SI,6559.17,6567.35,6357.61,6394.44,8476160000,276508940000
2026-04-03,801080.SI,6455.66,6478.14,6393.15,6403.01,7320330000,254660860000
2026-04-07,801080.SI,6440.79,6533.54,6440.62,6482.43,7294140000,271654140000
2026-04-08,801080.SI,6696.91,6910.31,6696.91,6910.31,12108390000,454655310000
2026-04-09,801080.SI,6827.15,7000.45,6820.50,6944.50,11636080000,416004790000
2026-04-10,801080.SI,7029.26,7141.80,7029.24,7084.19,11625980000,468222730000
2026-04-13,801080.SI,7029.61,7199.80,7029.61,7141.81,10203250000,417851020000
2026-04-14,801080.SI,7243.36,7369.86,7236.28,7332.31,11353390000,490467630000
2026-04-15,801080.SI,7381.96,7396.71,7237.86,7271.27,11459520000,483535030000
2026-04-16,801080.SI,7267.16,7397.54,7232.52,7392.67,11003920000,444033870000
2026-04-17,801080.SI,7377.42,7528.32,7377.41,7505.69,12440340000,504360660000
2026-04-20,801080.SI,7531.23,7631.75,7531.23,7622.51,14089350000,540797300000
2026-04-21,801080.SI,7571.76,7627.17,7459.90,7604.31,14099870000,497414030000
2026-04-22,801080.SI,7581.12,7854.31,7581.12,7853.20,13970660000,550360290000
2026-04-23,801080.SI,7917.13,7919.40,7652.25,7732.97,14124720000,599149390000
