trade_date,wind_code,open,high,low,close,volume,amt
2026-04-07,000300.SH,4445.86,4458.93,4420.69,4440.62,16263878700,378261695000
2026-04-08,000300.SH,4517.34,4595.56,4513.77,4595.56,25333921300,641779180900
2026-04-09,000300.SH,4562.67,4579.20,4552.42,4566.22,18493978300,500445676600
2026-04-10,000300.SH,4594.95,4655.10,4590.11,4636.57,20867860500,625717995600
2026-04-13,000300.SH,4615.13,4653.40,4615.13,4646.15,19671227700,556620945200
2026-04-14,000300.SH,4676.12,4701.28,4654.85,4701.28,20470033200,605717793500
2026-04-15,000300.SH,4726.64,4731.27,4672.56,4685.25,20168850000,604550556700
2026-04-16,000300.SH,4694.43,4739.22,4689.41,4736.61,19205760000,567611323500
2026-04-17,000300.SH,4729.00,4738.32,4714.47,4728.67,18291533600,587622682300
2026-04-20,000300.SH,4727.17,4763.04,4720.69,4757.44,22163349400,626568410300
2026-04-21,000300.SH,4750.51,4776.83,4722.01,4768.00,20561405800,580407995600
2026-04-22,000300.SH,4751.28,4801.45,4750.35,4799.63,20448183000,619505670100
2026-04-23,000300.SH,4816.03,4823.47,4759.86,4786.33,23286573600,693853775900
2026-04-24,000300.SH,4771.73,4786.44,4735.61,4769.37,19379831400,680097832500
2026-04-27,000300.SH,4776.34,4795.17,4762.64,4770.95,19279655000,648904814900
2026-04-28,000300.SH,4757.08,4778.19,4743.44,4758.21,21672423300,631521664900
2026-04-29,000300.SH,4737.58,4813.61,4737.11,4810.35,23329811000,681020507300
2026-04-30,000300.SH,4820.97,4829.27,4797.54,4807.31,25063337000,726665374500
2026-05-06,000300.SH,4857.65,4892.80,4834.28,4877.09,27444388000,881744311600
2026-05-07,000300.SH,4895.80,4901.86,4866.87,4900.51,25783397200,787236200000
2026-05-08,000300.SH,4871.12,4887.21,4849.99,4871.91,25172099600,716546104100
2026-05-11,000300.SH,4902.28,4960.40,4889.57,4951.84,30573480100,904479321900
2026-05-12,000300.SH,4965.02,4971.30,4926.79,4948.05,27381200100,819351442600
2026-05-13,000300.SH,4919.42,5001.12,4919.42,4998.34,26845453700,823173197900
2026-05-14,000300.SH,5027.64,5030.52,4913.60,4914.60,28069537900,857446326200
2026-05-15,000300.SH,4911.62,4935.62,4832.69,4859.59,27696776900,887687426900
2026-05-18,000300.SH,4836.33,4868.60,4806.15,4833.52,23907758700,733452822600
2026-05-19,000300.SH,4818.71,4854.52,4773.53,4852.88,23228085200,712401049900
2026-05-20,000300.SH,4829.61,4866.21,4825.64,4850.70,22002320600,729653332800
2026-05-21,000300.SH,4886.24,4937.93,4780.71,4783.10,28734250700,891936347900
2026-05-22,000300.SH,4818.84,4851.35,4785.35,4845.10,28694043500,771823300800
2026-05-25,000300.SH,4873.20,4922.44,4857.13,4921.60,26474323600,861179421800
2026-05-26,000300.SH,4900.12,4952.74,4892.68,4947.85,30279947600,899094487800
