trade_date,wind_code,open,high,low,close,volume,amt
2025-12-30,801010.SI,2996.22,3037.51,2996.22,3014.39,2757730000,28986280000
2025-12-31,801010.SI,3006.62,3006.62,2964.24,2981.20,2590150000,25798170000
2026-01-05,801010.SI,2978.58,2988.41,2965.44,2981.07,2564720000,25138470000
2026-01-06,801010.SI,2978.71,3014.02,2972.77,3014.02,2736400000,26444820000
2026-01-07,801010.SI,3011.53,3021.09,2993.86,3003.44,2865480000,27011620000
2026-01-08,801010.SI,3004.49,3013.57,2996.95,3000.02,2429080000,23933520000
2026-01-09,801010.SI,2994.74,3017.58,2994.74,3010.28,3071420000,28595680000
2026-01-12,801010.SI,3007.10,3014.07,2985.93,3014.07,3230520000,30689750000
2026-01-13,801010.SI,3014.64,3020.88,2970.11,2975.48,3284230000,31740400000
2026-01-14,801010.SI,2971.99,3001.18,2951.95,2980.52,3365630000,32187640000
2026-01-15,801010.SI,2975.35,2990.83,2953.67,2959.73,2363150000,23156130000
2026-01-16,801010.SI,2953.85,2959.07,2906.66,2911.83,2247450000,22368100000
2026-01-19,801010.SI,2905.93,2942.88,2905.93,2939.57,2404220000,22724980000
2026-01-20,801010.SI,2933.69,2948.90,2915.22,2921.56,2804240000,26720990000
2026-01-21,801010.SI,2917.14,2919.12,2894.90,2900.48,2472650000,24324720000
2026-01-22,801010.SI,2900.36,2910.46,2895.93,2907.11,2432480000,23648230000
2026-01-23,801010.SI,2908.72,2924.92,2908.72,2923.59,2594850000,24367220000
2026-01-26,801010.SI,2928.77,2952.89,2903.09,2948.37,3764960000,34637010000
2026-01-27,801010.SI,2942.56,2942.56,2882.05,2890.80,2951120000,27983250000
2026-01-28,801010.SI,2886.31,2926.72,2869.70,2915.17,3814070000,35670710000
2026-01-29,801010.SI,2910.82,2957.64,2910.82,2957.64,4352680000,39528490000
2026-01-30,801010.SI,2947.36,3034.01,2947.36,2976.84,5995650000,54196870000
2026-02-02,801010.SI,2933.95,2933.95,2870.77,2872.03,4719300000,41211140000
2026-02-03,801010.SI,2879.92,2899.03,2853.41,2898.79,3091140000,27599340000
2026-02-04,801010.SI,2912.38,2938.00,2885.40,2936.45,3502020000,32310270000
2026-02-05,801010.SI,2924.21,2964.27,2923.20,2925.58,2791880000,26361350000
2026-02-06,801010.SI,2907.38,2942.65,2907.38,2919.55,2743160000,26978040000
2026-02-09,801010.SI,2926.10,2939.91,2920.54,2931.85,2516680000,23782730000
2026-02-10,801010.SI,2928.94,2931.27,2903.21,2910.21,2144460000,19377450000
2026-02-11,801010.SI,2910.65,2921.50,2899.14,2915.81,1977320000,17714590000
2026-02-12,801010.SI,2911.06,2911.06,2872.42,2872.42,2040860000,17860260000
2026-02-13,801010.SI,2875.82,2893.08,2856.90,2858.13,1826680000,16389870000
