vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,创新药指数、恒生创新药指数2026年年初至今涨跌幅,1,指数日行情,,,"|指数名称|指数代码|交易日|收盘价(点)|昨收盘(点)|今开盘(点)|最高价(点)|最低价(点)|涨跌(点)|涨跌幅(%)|成交量(万股)|成交额(亿元)|指数市值(亿元)|
|恒生创新药|HSIDI|2026-02-10|2921.47|2846.61|2852.03|2978.07|2843.36|74.86|2.63||87.05||
|恒生创新药|HSIDI|2026-02-09|2846.61|2790.46|2843.27|2891.25|2832.03|56.15|2.01||61.89||
|恒生创新药|HSIDI|2026-02-06|2790.46|2789.89|2751.56|2823.19|2725.1|0.57|0.02||59.96||
|恒生创新药|HSIDI|2026-02-05|2789.89|2781.76|2752.02|2801.47|2731.31|8.13|0.29||66.92||
|恒生创新药|HSIDI|2026-02-04|2781.76|2743.57|2746.99|2806.99|2692.09|38.19|1.39||58.28||
|恒生创新药|HSIDI|2026-02-03|2743.57|2707.97|2737.21|2755.07|2674.84|35.6|1.31||75.17||
|恒生创新药|HSIDI|2026-02-02|2707.97|2816.7|2809.43|2809.43|2689.42|-108.73|-3.86||95.8||
|恒生创新药|HSIDI|2026-01-30|2816.7|2879.82|2893.54|2915.45|2797.93|-63.12|-2.19||120.0||
|恒生创新药|HSIDI|2026-01-29|2879.82|2912.43|2903.11|2910.14|2864.14|-32.61|-1.12||61.54||
|恒生创新药|HSIDI|2026-01-28|2912.43|2859.82|2874.39|2912.43|2856.16|52.61|1.84||85.28||
|恒生创新药|HSIDI|2026-01-27|2859.82|2836.57|2837.2|2868.66|2798.03|23.25|0.82||60.5||
|恒生创新药|HSIDI|2026-01-26|2836.57|2896.44|2891.66|2897.98|2817.2|-59.87|-2.07||56.27||
|恒生创新药|HSIDI|2026-01-23|2896.44|2842.27|2861.86|2912.69|2852.41|54.17|1.91||59.76||
|恒生创新药|HSIDI|2026-01-22|2842.27|2887.46|2911.55|2920.79|2824.67|-45.19|-1.57||72.83||
|恒生创新药|HSIDI|2026-01-21|2887.46|2893.91|2891.08|2904.19|2853.01|-6.45|-0.22||53.84||
|恒生创新药|HSIDI|2026-01-20|2893.91|2916.53|2913.22|2942.0|2877.99|-22.62|-0.78||48.93||
|恒生创新药|HSIDI|2026-01-19|2916.53|3012.94|3000.01|3003.64|2899.87|-96.41|-3.2||68.58||
|恒生创新药|HSIDI|2026-01-16|3012.94|3024.32|3036.59|3044.28|2986.72|-11.38|-0.38||61.06||
|恒生创新药|HSIDI|2026-01-15|3024.32|3041.15|3062.51|3089.56|3018.03|-16.83|-0.55||63.27||
|恒生创新药|HSIDI|2026-01-14|3041.15|3038.35|3074.41|3106.86|3000.34|2.8|0.09||106.39||
|恒生创新药|HSIDI|2026-01-13|3038.35|3013.92|3020.39|3096.2|2997.63|24.43|0.81||118.01||
|恒生创新药|HSIDI|2026-01-12|3013.92|3004.26|3024.48|3053.81|2962.34|9.66|0.32||91.34||
|恒生创新药|HSIDI|2026-01-09|3004.26|2993.82|2978.51|3016.8|2935.02|10.44|0.35||81.48||
|恒生创新药|HSIDI|2026-01-08|2993.82|3006.76|3023.82|3033.31|2977.63|-12.94|-0.43||89.48||
|恒生创新药|HSIDI|2026-01-07|3006.76|2881.2|2888.89|3006.76|2886.9|125.56|4.36||136.59||
|恒生创新药|HSIDI|2026-01-06|2881.2|2856.55|2859.93|2887.71|2827.19|24.65|0.86||74.16||
|恒生创新药|HSIDI|2026-01-05|2856.55|2733.81|2716.02|2874.19|2698.02|122.74|4.49||98.08||
|恒生创新药|HSIDI|2026-01-02|2733.81|2693.7|2710.48|2737.76|2706.19|40.11|1.49||19.8||",2026-08-13T11:23:49.439524+08:00
